city,FIPS,tmy_id,heating_design_temp
anchorage municipality,203000,702730,-4.5
adak city,200065,704540,22.6
akutan city,201090,704890,21.2
allakaket city,201860,701740,-44.9
angoon city,203440,703710,20.9
aniak city,203550,702320,-30.2
arctic village cdp,203990,701940,-50.7
atka city,204210,704540,22.6
juneau city and borough,236400,703810,8.9
barrow city,205200,700260,-34.3
bethel city,206520,702190,-22.6
bettles city,206630,701740,-44.9
delta junction city,218620,702670,-32.0
big lake cdp,207070,702746,-8.5
cantwell cdp,210150,702647,-36.0
central cdp,211690,701940,-50.7
chalkyitsik cdp,211800,701940,-50.7
chickaloon cdp,213340,702740,-9.3
chicken cdp,213450,702910,-44.9
chignik city,213550,703330,-1.6
chitina cdp,214110,702710,-33.2
circle cdp,214880,701940,-50.7
anderson city,203220,702600,-41.0
coffman cove city,216360,703870,15.8
cold bay city,216530,703160,11.7
cooper landing cdp,217190,702770,7.0
copper center cdp,217300,702710,-33.2
cordova city,217410,702960,2.4
atqasuk city,204500,700260,-34.3
kaktovik city,236990,700637,-41.3
nuiqsut city,256320,700637,-41.3
point hope city,261630,701043,-24.1
point lay cdp,261700,701043,-24.1
wainwright city,282750,700260,-34.3
ambler city,201970,701718,-36.5
buckland city,209600,700197,-36.6
deering city,218510,701330,-31.0
kiana city,239300,700197,-36.6
kivalina city,239960,701043,-24.1
kobuk city,240840,701718,-36.5
kotzebue city,241830,701330,-31.0
noatak cdp,254700,701330,-31.0
noorvik city,255140,700197,-36.6
selawik city,268230,700197,-36.6
shungnak city,270100,701718,-36.5
brevig mission city,208740,702000,-24.6
diomede city,219060,701195,-26.2
elim city,222250,702070,-25.2
gambell city,227640,702040,-11.4
golovin city,229180,702000,-24.6
koyuk city,241940,702070,-25.2
nome city,254920,702000,-24.6
st. michael city,266360,702070,-25.2
savoonga city,267460,702035,-17.8
shaktoolik city,268890,702070,-25.2
shishmaref city,269770,701195,-26.2
stebbins city,272960,702070,-25.2
teller city,275930,702000,-24.6
unalakleet city,280660,702070,-25.2
wales city,282860,701195,-26.2
white mountain city,284070,702000,-24.6
chevak city,213230,702186,-11.3
emmonak city,222910,702084,-19.6
hooper bay city,233470,702186,-11.3
kotlik city,241720,702084,-19.6
marshall city,247000,702005,-18.4
mountain village city,251180,702005,-18.4
pilot station city,260750,702005,-18.4
pitkas point cdp,260860,702005,-18.4
russian mission city,265700,702320,-30.2
st. mary's city,266140,702005,-18.4
